field_name,source_surface,resource,grain,field_type,semantic_status,relationship_kind,identity_contract,source_identity_required,player_attachment_status,fixture_attachment_status,team_attachment_status,matrix_attachment_status,coverage_player_status,coverage_fixture_status,coverage_club_status,attachment_basis,provenance_requirement,target_entity,route_family,route_evidence_status,route_propagation_status,player_route_verification,player_route_evidence_basis,fixture_route_verification,fixture_route_evidence_basis,team_route_verification,team_route_evidence_basis
accurateCrossNocorner,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,PLAYER,NONE,NOT_APPLICABLE,NOT_STRUCTURALLY_APPLICABLE,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateCrossNocorner,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,FIXTURE,FIXTURE_CONTEXT_INHERITANCE,GRAIN_COMPATIBLE_NO_EXPLICIT_CONTRACT,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateCrossNocorner,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,TEAM,CANONICAL_TEAM_SEASON_TO_SOURCE_TEAM,EXPLICIT_TEAM_CONTRACT_REQUIRES_ROW_CHECK,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateFlickOn,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,PLAYER,NONE,NOT_APPLICABLE,NOT_STRUCTURALLY_APPLICABLE,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateFlickOn,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,FIXTURE,FIXTURE_CONTEXT_INHERITANCE,GRAIN_COMPATIBLE_NO_EXPLICIT_CONTRACT,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateFlickOn,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,TEAM,CANONICAL_TEAM_SEASON_TO_SOURCE_TEAM,EXPLICIT_TEAM_CONTRACT_REQUIRES_ROW_CHECK,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateFreekickCross,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,PLAYER,NONE,NOT_APPLICABLE,NOT_STRUCTURALLY_APPLICABLE,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateFreekickCross,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,FIXTURE,FIXTURE_CONTEXT_INHERITANCE,GRAIN_COMPATIBLE_NO_EXPLICIT_CONTRACT,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateFreekickCross,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,TEAM,CANONICAL_TEAM_SEASON_TO_SOURCE_TEAM,EXPLICIT_TEAM_CONTRACT_REQUIRES_ROW_CHECK,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateFwdZonePass,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,PLAYER,NONE,NOT_APPLICABLE,NOT_STRUCTURALLY_APPLICABLE,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateFwdZonePass,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,FIXTURE,FIXTURE_CONTEXT_INHERITANCE,GRAIN_COMPATIBLE_NO_EXPLICIT_CONTRACT,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateFwdZonePass,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,TEAM,CANONICAL_TEAM_SEASON_TO_SOURCE_TEAM,EXPLICIT_TEAM_CONTRACT_REQUIRES_ROW_CHECK,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateGoalKicks,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,PLAYER,NONE,NOT_APPLICABLE,NOT_STRUCTURALLY_APPLICABLE,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateGoalKicks,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,FIXTURE,FIXTURE_CONTEXT_INHERITANCE,GRAIN_COMPATIBLE_NO_EXPLICIT_CONTRACT,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateGoalKicks,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,TEAM,CANONICAL_TEAM_SEASON_TO_SOURCE_TEAM,EXPLICIT_TEAM_CONTRACT_REQUIRES_ROW_CHECK,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateKeeperSweeper,FRL_LOCAL_CSV,player_match,player_match,unknown,UNCATALOGUED,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,PLAYER,PLAYER_IDENTITY_TO_PLAYER_MATCH,PLAYER_MATCH_CONTRACT_REQUIRES_OBSERVATION_CHECK,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,ROUTE_EVIDENCE_PRESENT,player_identity_to_player_match_observations + player-match adapter,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=player_match,NOT_APPLICABLE,grain/contract not team-compatible
accurateKeeperSweeper,FRL_LOCAL_CSV,player_match,player_match,unknown,UNCATALOGUED,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,FIXTURE,FIXTURE_CONTEXT_INHERITANCE,GRAIN_COMPATIBLE_NO_EXPLICIT_CONTRACT,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,ROUTE_EVIDENCE_PRESENT,player_identity_to_player_match_observations + player-match adapter,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=player_match,NOT_APPLICABLE,grain/contract not team-compatible
accurateKeeperSweeper,FRL_LOCAL_CSV,player_match,player_match,unknown,UNCATALOGUED,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,TEAM,NONE,NOT_APPLICABLE,NOT_STRUCTURALLY_APPLICABLE,ROUTE_EVIDENCE_PRESENT,player_identity_to_player_match_observations + player-match adapter,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=player_match,NOT_APPLICABLE,grain/contract not team-compatible
accurateKeeperThrows,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,PLAYER,NONE,NOT_APPLICABLE,NOT_STRUCTURALLY_APPLICABLE,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateKeeperThrows,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,FIXTURE,FIXTURE_CONTEXT_INHERITANCE,GRAIN_COMPATIBLE_NO_EXPLICIT_CONTRACT,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateKeeperThrows,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,TEAM,CANONICAL_TEAM_SEASON_TO_SOURCE_TEAM,EXPLICIT_TEAM_CONTRACT_REQUIRES_ROW_CHECK,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateLaunches,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,PLAYER,NONE,NOT_APPLICABLE,NOT_STRUCTURALLY_APPLICABLE,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateLaunches,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,FIXTURE,FIXTURE_CONTEXT_INHERITANCE,GRAIN_COMPATIBLE_NO_EXPLICIT_CONTRACT,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateLaunches,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,TEAM,CANONICAL_TEAM_SEASON_TO_SOURCE_TEAM,EXPLICIT_TEAM_CONTRACT_REQUIRES_ROW_CHECK,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateLayoffs,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,PLAYER,NONE,NOT_APPLICABLE,NOT_STRUCTURALLY_APPLICABLE,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateLayoffs,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,FIXTURE,FIXTURE_CONTEXT_INHERITANCE,GRAIN_COMPATIBLE_NO_EXPLICIT_CONTRACT,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateLayoffs,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,TEAM,CANONICAL_TEAM_SEASON_TO_SOURCE_TEAM,EXPLICIT_TEAM_CONTRACT_REQUIRES_ROW_CHECK,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,NOT_APPLICABLE,grain/contract not player-compatible,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=team_match,ROUTE_EVIDENCE_PRESENT,canonical_team_season_to_source_team + team-season registry
accurateLongBalls,FRL_LOCAL_CSV,player_match,player_match,unknown,exposed,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,PLAYER,PLAYER_IDENTITY_TO_PLAYER_MATCH,PLAYER_MATCH_CONTRACT_REQUIRES_OBSERVATION_CHECK,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,ROUTE_EVIDENCE_PRESENT,player_identity_to_player_match_observations + player-match adapter,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=player_match,NOT_APPLICABLE,grain/contract not team-compatible
accurateLongBalls,FRL_LOCAL_CSV,player_match,player_match,unknown,exposed,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,FIXTURE,FIXTURE_CONTEXT_INHERITANCE,GRAIN_COMPATIBLE_NO_EXPLICIT_CONTRACT,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,ROUTE_EVIDENCE_PRESENT,player_identity_to_player_match_observations + player-match adapter,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=player_match,NOT_APPLICABLE,grain/contract not team-compatible
accurateLongBalls,FRL_LOCAL_CSV,player_match,player_match,unknown,exposed,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,TEAM,NONE,NOT_APPLICABLE,NOT_STRUCTURALLY_APPLICABLE,ROUTE_EVIDENCE_PRESENT,player_identity_to_player_match_observations + player-match adapter,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=player_match,NOT_APPLICABLE,grain/contract not team-compatible
accurateOppositionHalfPasses,FRL_LOCAL_CSV,player_match,player_match,unknown,exposed,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,PLAYER,PLAYER_IDENTITY_TO_PLAYER_MATCH,PLAYER_MATCH_CONTRACT_REQUIRES_OBSERVATION_CHECK,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,ROUTE_EVIDENCE_PRESENT,player_identity_to_player_match_observations + player-match adapter,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=player_match,NOT_APPLICABLE,grain/contract not team-compatible
accurateOppositionHalfPasses,FRL_LOCAL_CSV,player_match,player_match,unknown,exposed,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,FIXTURE,FIXTURE_CONTEXT_INHERITANCE,GRAIN_COMPATIBLE_NO_EXPLICIT_CONTRACT,CONTRACT_ROUTE_PRESENT_REQUIRES_EVIDENCE_CHECK,ROUTE_EVIDENCE_PRESENT,player_identity_to_player_match_observations + player-match adapter,GRAIN_ROUTE_EVIDENCE_REQUIRED,grain=player_match,NOT_APPLICABLE,grain/contract not team-compatible
