source_surface,resource,grain,field_name,field_type,status,statuses_seen,types_seen,notes,canonical_attachment,relationship_kind,identity_contract,source_identity_required,relationship_note,player_route,fixture_route,team_route,route_status,attachment_verified
FRL_LOCAL_CSV,player_match,player_match,blockedScoringAttempt,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,challengeLost,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,clearanceOffLine,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,crossNotClaimed,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,dispossessed,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,duelLost,unknown,exposed,exposed,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,duelWon,unknown,exposed,exposed,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,errorLeadToAGoal,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,errorLeadToAShot,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,expectedAssists,unknown,exposed,exposed,unknown,coverage=INTERMITTENT; seasons=4/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,expectedGoals,unknown,exposed,exposed,unknown,coverage=INTERMITTENT; seasons=4/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,expectedGoalsOnTarget,unknown,exposed,exposed,unknown,coverage=INTERMITTENT; seasons=4/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,fouls,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
