field_name,state,live_endpoints,historical_grains
_limit,LIVE_ONLY,competition_teams | match_commentary | matches | player_directory | player_leaderboard | season_teams | team_leaderboard,
_next,LIVE_ONLY,competition_teams | match_commentary | matches | player_directory | player_leaderboard | season_teams | team_leaderboard,
_prev,LIVE_ONLY,competition_teams | match_commentary | matches | player_directory | player_leaderboard | season_teams | team_leaderboard,
abbr,LIVE_ONLY,competition_teams | match_detail | matches | season_teams | standings | team_leaderboard | team_stats,
abbreviation,LIVE_ONLY,broadcast_match_events,
accurateBackZonePass,HISTORICAL_ONLY,,team_match
accurateChippedPass,HISTORICAL_ONLY,,team_match
accurateCornersIntobox,HISTORICAL_ONLY,,team_match
accurateCross,HISTORICAL_ONLY,,player_match | team_match
accurateCrossNocorner,HISTORICAL_ONLY,,team_match
accurateFlickOn,HISTORICAL_ONLY,,team_match
accurateFreekickCross,HISTORICAL_ONLY,,team_match
accurateFwdZonePass,HISTORICAL_ONLY,,team_match
accurateGoalKicks,HISTORICAL_ONLY,,team_match
accurateKeeperSweeper,HISTORICAL_ONLY,,player_match | team_match
accurateKeeperThrows,HISTORICAL_ONLY,,team_match
accurateLaunches,HISTORICAL_ONLY,,team_match
accurateLayoffs,HISTORICAL_ONLY,,team_match
accurateLongBalls,HISTORICAL_ONLY,,player_match | team_match
accurateOppositionHalfPasses,HISTORICAL_ONLY,,player_match
accurateOwnHalfPasses,HISTORICAL_ONLY,,player_match
accuratePass,HISTORICAL_ONLY,,player_match | team_match
accuratePullBack,HISTORICAL_ONLY,,team_match
accurateThroughBall,HISTORICAL_ONLY,,team_match
accurateThrows,HISTORICAL_ONLY,,team_match
aerialDuels,BOTH,player_leaderboard | player_season_stats | team_leaderboard | team_stats,player_season
aerialDuelsLost,BOTH,player_leaderboard | player_season_stats | team_leaderboard | team_stats,player_season
aerialDuelsWon,BOTH,player_leaderboard | player_season_stats | team_leaderboard | team_stats,player_season
aerialLost,HISTORICAL_ONLY,,player_match | team_match
aerialWon,HISTORICAL_ONLY,,player_match | team_match
age,HISTORICAL_ONLY,,squad
appearances,BOTH,player_leaderboard | player_season_stats,player_season
area,LIVE_ONLY,broadcast_match_events,
areas,LIVE_ONLY,broadcast_match_events,
aspectRatio,LIVE_ONLY,broadcast_match_events,
assistPlayerId,LIVE_ONLY,match_events,
attAssistOpenplay,HISTORICAL_ONLY,,team_match
attAssistSetplay,HISTORICAL_ONLY,,team_match
attCorner,HISTORICAL_ONLY,,team_match
attFastbreak,HISTORICAL_ONLY,,team_match
attFreekickGoal,HISTORICAL_ONLY,,team_match
attFreekickMiss,HISTORICAL_ONLY,,team_match
attFreekickPost,HISTORICAL_ONLY,,team_match
attFreekickTarget,HISTORICAL_ONLY,,team_match
attFreekickTotal,HISTORICAL_ONLY,,team_match
attIboxOwnGoal,HISTORICAL_ONLY,,team_match
attLgCentre,HISTORICAL_ONLY,,team_match
attLgLeft,HISTORICAL_ONLY,,team_match
attObxdLeft,HISTORICAL_ONLY,,team_match
attObxdRight,HISTORICAL_ONLY,,team_match
attOneOnOne,HISTORICAL_ONLY,,team_match
attOpenplay,HISTORICAL_ONLY,,team_match
attPenGoal,HISTORICAL_ONLY,,team_match
attPenMiss,HISTORICAL_ONLY,,team_match
attPenPost,HISTORICAL_ONLY,,team_match
attPenTarget,HISTORICAL_ONLY,,team_match
attPostHigh,HISTORICAL_ONLY,,team_match
attPostLeft,HISTORICAL_ONLY,,team_match
attPostRight,HISTORICAL_ONLY,,team_match
attSetpiece,HISTORICAL_ONLY,,team_match
attemptedTackleFoul,HISTORICAL_ONLY,,team_match
attemptsConcededIbox,HISTORICAL_ONLY,,team_match
attemptsConcededObox,HISTORICAL_ONLY,,team_match
attemptsFromSetPieces,BOTH,team_leaderboard | team_stats,player_season
attemptsIbox,HISTORICAL_ONLY,,team_match
attemptsObox,HISTORICAL_ONLY,,team_match
attendance,BOTH,match_detail | matches,team_match
away,LIVE_ONLY,standings,
awayGoals,BOTH,player_leaderboard | player_season_stats | team_leaderboard | team_stats,player_season
awayTeam,LIVE_ONLY,match_detail | match_events | matches,
away_team,LIVE_ONLY,match_lineups,
backwardPass,HISTORICAL_ONLY,,team_match
backwardPasses,BOTH,player_leaderboard | player_season_stats,player_season
ballCarriesCount,HISTORICAL_ONLY,,player_match
ballRecovery,HISTORICAL_ONLY,,player_match | team_match
bigChanceCreated,HISTORICAL_ONLY,,player_match | team_match
bigChanceMissed,HISTORICAL_ONLY,,player_match | team_match
bigChanceScored,HISTORICAL_ONLY,,team_match
birth,LIVE_ONLY,player_season_info | season_awards | team_squad,
